case_id,grid,shape,spacing,anisotropy,rho_frozen,rho_eff,stencil_m,n_directions,apriori_bound,in_domain,domain_reasons,area_true,area_v2,area_rel_err,area_E0,area_E0_rel_err,volume_true,volume_est,volume_rel_err,sphericity_true,sphericity_v2,sphericity_rel_err
confirm-028-sphere-size10-sp2.5x0.8x0.8-offset0,confirm,sphere,2.5x0.8x0.8,3.125,4.0,4.010669843393049,4,289,0.04839074731955384,False,rho_eff 4.01 < 8.0;anisotropy 3.12 > 3.0,1256.6370614359173,1242.14863272882,-0.01152952523184525,1468.97998046875,0.16897712597318715,4188.790204786391,4222.400000000001,0.008023747566828554,0.9999999999999997,1.0170683522739548,0.0170683522739552
confirm-029-sphere-size10-sp2.5x0.8x0.8-offset1,confirm,sphere,2.5x0.8x0.8,3.125,4.0,3.9903030084584366,4,289,0.048610174206289256,False,rho_eff 3.99 < 8.0;anisotropy 3.12 > 3.0,1256.6370614359173,1233.5531382076765,-0.01836960243864172,1449.58642578125,0.15354422550999391,4188.790204786391,4158.400000000001,-0.007255126969993531,0.9999999999999997,1.013780118952382,0.013780118952382514
confirm-030-sphere-size20-sp2.5x0.8x0.8-offset0,confirm,sphere,2.5x0.8x0.8,3.125,8.0,7.998095923357026,4,289,0.03234155969622843,False,rho_eff 8.00 < 8.0;anisotropy 3.12 > 3.0,5026.548245743669,5029.5458212508,0.0005963486990638867,5856.18115234375,0.16505022254637436,33510.32163829113,33486.4,-0.000713858808916723,0.9999999999999994,0.998928327879028,-0.0010716721209714786
confirm-031-sphere-size20-sp2.5x0.8x0.8-offset1,confirm,sphere,2.5x0.8x0.8,3.125,8.0,7.99618469791546,4,289,0.03234413724478684,False,rho_eff 8.00 < 8.0;anisotropy 3.12 > 3.0,5026.548245743669,5025.81983819191,-0.00014491207805988893,5847.755859375,0.16337406376765706,33510.32163829113,33462.4,-0.0014300560528301975,0.9999999999999994,0.9991911967973531,-0.0008088032026463132
confirm-032-sphere-size30-sp2.5x0.8x0.8-offset0,confirm,sphere,2.5x0.8x0.8,3.125,12.0,12.003573360284314,4,289,0.029343810535279364,False,anisotropy 3.12 > 3.0,11309.733552923255,11363.283876972468,0.004734888209225074,13210.5595703125,0.16806992034732193,113097.33552923254,113198.40000000001,0.0008936061163116182,0.9999999999999996,0.9958802669863743,-0.004119733013625226
confirm-033-sphere-size30-sp2.5x0.8x0.8-offset1,confirm,sphere,2.5x0.8x0.8,3.125,12.0,12.00204618808459,4,289,0.029344419705011265,False,anisotropy 3.12 > 3.0,11309.733552923255,11357.522487817641,0.004225469563076789,13228.82421875,0.1696848698376907,113097.33552923254,113155.20000000001,0.0005116342528910245,0.9999999999999996,0.9961319352498196,-0.003868064750179978
confirm-034-ellipsoid-size10-sp2.5x0.8x0.8-rot0,confirm,ellipsoid,2.5x0.8x0.8,3.125,1.8,2.5818321360442202,3,145,0.07101975367365944,False,rho_eff 2.58 < 8.0;anisotropy 3.12 > 3.0,568.773361551602,554.0778616573533,-0.025837180303521334,623.6773681640625,0.09653055210371231,1130.9733552923253,1126.4,-0.004043733896050172,0.9229534383814795,0.9448765864727215,0.023753254692552295
confirm-035-ellipsoid-size10-sp2.5x0.8x0.8-rot1,confirm,ellipsoid,2.5x0.8x0.8,3.125,1.8,2.585494314195492,3,145,0.0709333162263226,False,rho_eff 2.59 < 8.0;anisotropy 3.12 > 3.0,568.773361551602,550.4818987579972,-0.032159492743658036,644.9749755859375,0.1339753567685713,1130.9733552923253,1131.2,0.0002003979197335859,0.9229534383814795,0.9537488177464566,0.03336612453492882
confirm-036-ellipsoid-size10-sp2.5x0.8x0.8-rot2,confirm,ellipsoid,2.5x0.8x0.8,3.125,1.8,2.5952097434365013,3,145,0.07070577587624682,False,rho_eff 2.60 < 8.0;anisotropy 3.12 > 3.0,568.773361551602,553.4352799081406,-0.026966947962575816,676.6716918945312,0.1897035579313786,1130.9733552923253,1144.0,0.011518082761823978,0.9229534383814795,0.95580207000029,0.03559077874655836
confirm-037-ellipsoid-size20-sp2.5x0.8x0.8-rot0,confirm,ellipsoid,2.5x0.8x0.8,3.125,3.6,5.177380462621409,4,289,0.03981638944168625,False,rho_eff 5.18 < 8.0;anisotropy 3.12 > 3.0,2275.093446206408,2270.133076379435,-0.002180292785443183,2540.6083984375,0.11670507542176933,9047.786842338603,9083.2,0.003914013258544458,0.9229534383814795,0.9273821359979483,0.004798397657237219
