spacing,radius,rho,bin,nz,ny,nx,solid_angle_weight,g,total_area_rel_err,closure_residual
1x1x1,48,48,57,0.401041666667,0.891476934588,0.210794821318,0.0052275,1.12322432702,0.0857443809509,1.34972538257e-07
1x1x1,48,48,58,0.390625,-0.517481563559,-0.761331032306,0.0052275,1.10445311858,0.0857443809509,1.34972538257e-07
1x1x1,48,48,59,0.380208333333,-0.133324114806,0.91524111778,0.005225,1.11156821741,0.0857443809509,1.34972538257e-07
1x1x1,48,48,60,0.369791666667,0.719810109505,-0.587475556528,0.00523,1.07553648844,0.0857443809509,1.34972538257e-07
1x1x1,48,48,61,0.359375,-0.931671492584,-0.0532713739439,0.005225,1.10907555456,0.0857443809509,1.34972538257e-07
1x1x1,48,48,62,0.348958333333,0.653753328556,0.671442229086,0.0052225,1.07554061798,0.0857443809509,1.34972538257e-07
1x1x1,48,48,63,0.338541666667,-0.0286206332758,-0.94051602819,0.0052225,1.09371259121,0.0857443809509,1.34972538257e-07
1x1x1,48,48,64,0.328125,-0.616609502448,0.715630285738,0.00521,1.07391729863,0.0857443809509,1.34972538257e-07
1x1x1,48,48,65,0.317708333333,0.941599449775,-0.111588041982,0.0052225,1.11196170404,0.0857443809509,1.34972538257e-07
1x1x1,48,48,66,0.307291666667,-0.772464512813,-0.555761106989,0.0052125,1.09448226325,0.0857443809509,1.34972538257e-07
1x1x1,48,48,67,0.296875,0.194853630458,0.934824741367,0.005215,1.10822341766,0.0857443809509,1.34972538257e-07
1x1x1,48,48,68,0.286458333333,0.489408566136,-0.823663085646,0.00521,1.09931936838,0.0857443809509,1.34972538257e-07
1x1x1,48,48,69,0.276041666667,-0.920173892153,0.277634663658,0.005205,1.1276763533,0.0857443809509,1.34972538257e-07
1x1x1,48,48,70,0.265625,0.868687891882,0.418120444217,0.005215,1.11247697985,0.0857443809509,1.34972538257e-07
1x1x1,48,48,71,0.255208333333,-0.359150765063,-0.897707878183,0.0052075,1.12491109152,0.0857443809509,1.34972538257e-07
1x1x1,48,48,72,0.244791666667,-0.34251650652,0.907060903519,0.0052125,1.11982837799,0.0857443809509,1.34972538257e-07
1x1x1,48,48,73,0.234375,0.867565879192,-0.438631741483,0.0052,1.11875397375,0.0857443809509,1.34972538257e-07
1x1x1,48,48,74,0.223958333333,-0.938368850757,-0.263261400246,0.0052075,1.11126798032,0.0857443809509,1.34972538257e-07
1x1x1,48,48,75,0.213541666667,0.515325285967,0.829963737907,0.0052,1.10198397374,0.0857443809509,1.34972538257e-07
1x1x1,48,48,76,0.203125,0.181057916801,-0.962267252451,0.0052,1.09575174717,0.0857443809509,1.34972538257e-07
